,Turbine_ID,X_Coordinate,Y_Coordinate
0,K43,439331.0,1159224
1,K44,439334.0,1158729
2,K45,439057.0,1158289
3,K46,438876.0,1158772
4,K47,438563.0,1158245
5,K48,438313.0,1157780
6,K49,438270.0,1158616
7,K50,438785.0,1157856
8,K51,439404.0,1158000
9,K52,439561.0,1157442
10,K53,439101.0,1157308
11,K54,438962.0,1156847
12,K55,438632.0,1157104
13,K56,438491.0,1156615
14,K57,439489.0,1156742
15,K58,438999.0,1156347
16,K59,439398.0,1156236
17,K60,438654.0,1155671
18,K61,438208.0,1155282
19,K62,438100.0,1154776
20,K63,437621.0,1154621
21,K64,437312.0,1154199
22,K66,436798.0,1154695
23,K67,436790.0,1155360
24,K68,436872.0,1156166
25,K69,437266.0,1155282
26,K70,437141.0,1155852
27,K71,437342.0,1156409
28,K72,437608.0,1156020
29,K73,438014.0,1154128
30,K74,437905.0,1153627
31,K75,437434.0,1153720
32,K76,437817.0,1152764
33,K77,437356.0,1152817
34,K78,440776.0,1160883
35,K79,440772.0,1160385
36,K80,440854.0,1159914
37,K81,440900.0,1159430
38,K82,440933.0,1158934
39,K83,440988.0,1158452
40,K84,441035.0,1157978
41,K85,441080.0,1157495
42,K86,441054.0,1156994
43,K87,441013.0,1156498
44,K88,440965.0,1155996
45,N89,441852.0,1160764
46,N90,441915.0,1161255
47,N91,442257.0,1161670
48,N92,442691.0,1161878
49,N93,442916.0,1162371
50,N94,443200.0,1161794
51,N95,443433.0,1162282
52,N96,443943.0,1162196
53,N97,443735.0,1161713
54,N98,443806.0,1161179
55,N99,444086.0,1161553
56,N100,442098.0,1160426
57,N101,442442.0,1160143
58,N102,442621.0,1160660
59,N103,442333.0,1160948
60,N104,442620.0,1161400
61,N105,443093.0,1160969
62,N106,441689.0,1160100
63,N107,442006.0,1159772
64,N108,442271.0,1159384
65,N109,442108.0,1158903
66,N110,442458.0,1156070
67,N111,442688.0,1155652
68,N112,442884.0,1155239
69,N113,443239.0,1156095
70,N114,443721.0,1155951
71,N115,443562.0,1155460
72,N116,443208.0,1156783
73,N117,443652.0,1156725
74,N118,444080.0,1157082
75,N119,444204.0,1157575
76,N120,443752.0,1157787
77,N121,443509.0,1157280
78,N122,443835.0,1158308
79,N123,444294.0,1158559
80,N124,444792.0,1158632
81,N125,444013.0,1158919
82,N126,444469.0,1159061
83,N127,444829.0,1159527
84,N128,444960.0,1159141
85,N129,444681.0,1157604
86,N130,444612.0,1157115
87,N131,444316.0,1156655
88,N132,444379.9,1156174
89,N137,444806.5,1156649
90,N138,445073.0,1158295
91,N139,444570.0,1158179
92,N140,445257.0,1158832
93,N141,445562.0,1158314
94,N142,446086.0,1158412
95,N143,445302.0,1157718
96,N144,445595.0,1157383
97,N145,445766.0,1156959
98,N147,446130.0,1157523
99,N148,445828.0,1157861
100,N149,446380.0,1157963
101,N150,445315.0,1156780
